filter,method,param,seed,rmse_twin,sync_count,mean_aoi
fixed,periodic,400.0,11,14.599411135046687,2,199.5
fixed,periodic,400.0,12,18.79594148778168,2,199.5
fixed,periodic,400.0,13,15.584302787908392,2,199.5
fixed,periodic,400.0,14,16.072167288607595,2,199.5
fixed,periodic,800.0,0,37.93276429429146,1,399.5
fixed,periodic,800.0,1,37.80504581018909,1,399.5
fixed,periodic,800.0,2,42.80927174193856,1,399.5
fixed,periodic,800.0,3,41.4073241774394,1,399.5
fixed,periodic,800.0,4,42.40962073995661,1,399.5
fixed,periodic,800.0,5,38.081849932551314,1,399.5
fixed,periodic,800.0,6,42.10243774319223,1,399.5
fixed,periodic,800.0,7,37.19313143868424,1,399.5
fixed,periodic,800.0,8,42.825421404781956,1,399.5
fixed,periodic,800.0,9,36.37025004208918,1,399.5
fixed,periodic,800.0,10,38.09710397681505,1,399.5
fixed,periodic,800.0,11,36.29020557911891,1,399.5
fixed,periodic,800.0,12,41.40304023845959,1,399.5
fixed,periodic,800.0,13,41.965820870091285,1,399.5
fixed,periodic,800.0,14,40.84394743788858,1,399.5
fixed,event,0.05,0,0.38696592689387693,460,0.90375
fixed,event,0.05,1,0.4115533911716778,445,0.96625
fixed,event,0.05,2,0.39564494845480686,438,1.1075
fixed,event,0.05,3,0.3287045690160961,457,1.01125
fixed,event,0.05,4,0.3370113810502565,475,0.8
fixed,event,0.05,5,0.3476914879936383,421,1.15375
fixed,event,0.05,6,0.3450101204886631,461,0.8925
fixed,event,0.05,7,0.35854084911784523,455,0.94375
fixed,event,0.05,8,0.3334802251270926,457,0.95
fixed,event,0.05,9,0.36413735462050434,460,0.975
fixed,event,0.05,10,0.34425745467128105,453,0.79375
fixed,event,0.05,11,0.30117655480040917,407,1.2075
fixed,event,0.05,12,0.3656052793195324,458,1.05875
fixed,event,0.05,13,0.37584051118983264,417,1.0925
fixed,event,0.05,14,0.3541368490923293,422,1.0025
fixed,event,0.1,0,0.39513275495317657,316,1.9025
fixed,event,0.1,1,0.41908274184623245,301,2.5875
fixed,event,0.1,2,0.40366107532698475,298,2.82625
fixed,event,0.1,3,0.34089673209176663,299,2.34
fixed,event,0.1,4,0.3476888284830146,310,2.74625
fixed,event,0.1,5,0.3559493975509336,283,3.04
fixed,event,0.1,6,0.3549191908333538,307,2.23375
fixed,event,0.1,7,0.36830486834789505,301,2.30375
fixed,event,0.1,8,0.3440140577881329,290,2.69875
fixed,event,0.1,9,0.37420060890074225,308,2.42375
fixed,event,0.1,10,0.3545201762184405,296,2.1375
fixed,event,0.1,11,0.3107184555904994,258,3.37
fixed,event,0.1,12,0.37557249312169877,310,2.64125
fixed,event,0.1,13,0.3836592257629344,284,2.7675
fixed,event,0.1,14,0.3618195337904382,274,2.55375
fixed,event,0.15,0,0.4074267693425055,252,3.12625
fixed,event,0.15,1,0.4289536256718282,245,3.5025
fixed,event,0.15,2,0.4143191470974831,239,4.44375
fixed,event,0.15,3,0.3538215175175268,235,4.355
fixed,event,0.15,4,0.36278204627340727,248,3.2625
fixed,event,0.15,5,0.3696230872520285,217,4.39
fixed,event,0.15,6,0.36976623201515185,236,3.15875
fixed,event,0.15,7,0.38023291227590356,239,3.09875
fixed,event,0.15,8,0.3563239892998656,229,4.00375
fixed,event,0.15,9,0.38813592410384573,238,3.59625
fixed,event,0.15,10,0.36714605361022606,237,3.25875
fixed,event,0.15,11,0.3234341824220496,205,4.415
fixed,event,0.15,12,0.38780951417117365,242,3.2325
fixed,event,0.15,13,0.3946435734832215,228,3.645
fixed,event,0.15,14,0.37319203885075614,218,3.6275
fixed,event,0.2,0,0.4230317877544582,205,4.2575
fixed,event,0.2,1,0.4424127332520094,206,4.20875
fixed,event,0.2,2,0.42876366888279244,198,5.9225
fixed,event,0.2,3,0.3694229262552197,199,5.7825
