filter,method,param,seed,rmse_twin,sync_count,mean_aoi
good,event,0.1,9,0.12004738333148353,81,6.47625
good,event,0.1,10,0.08214814470649869,78,6.7575
good,event,0.1,11,0.0808704543925304,79,6.46375
good,event,0.1,12,6.502728016532733,74,14.8725
good,event,0.1,13,0.0758821630030364,69,7.4925
good,event,0.1,14,0.08275080034395224,75,6.7025
good,event,0.15,0,0.5003640754627771,50,10.60625
good,event,0.15,1,0.1467544911212797,54,10.21625
good,event,0.15,2,0.09783188658071897,45,9.8
good,event,0.15,3,0.09949335668374394,47,10.17125
good,event,0.15,4,0.09908597797460493,45,11.36625
good,event,0.15,5,0.09998067622971936,44,11.09
good,event,0.15,6,0.09773322038847886,45,11.54
good,event,0.15,7,0.11918905954896063,49,11.98125
good,event,0.15,8,0.09983872977668147,52,9.62625
good,event,0.15,9,0.13561868447913428,49,10.815
good,event,0.15,10,0.09850408030495869,49,10.86375
good,event,0.15,11,0.09765204561644039,47,10.62625
good,event,0.15,12,6.507160325362221,45,20.55375
good,event,0.15,13,0.09608583818599441,46,11.04875
good,event,0.15,14,0.10276154107161341,46,10.34
good,event,0.2,0,0.5043657587383706,39,15.22625
good,event,0.2,1,0.16138924137091865,40,13.465
good,event,0.2,2,0.12280343345356835,38,11.76875
good,event,0.2,3,0.11630731779240344,32,14.25625
good,event,0.2,4,0.11612314595861203,33,14.21
good,event,0.2,5,0.11495534898006973,33,13.7675
good,event,0.2,6,0.11780029950186006,36,14.0875
good,event,0.2,7,0.14316915566023336,44,11.1775
good,event,0.2,8,0.12010042895916846,34,14.7
good,event,0.2,9,0.1528778729858481,35,16.8975
good,event,0.2,10,0.11636788518582714,34,16.34625
good,event,0.2,11,0.12461135420014148,38,12.465
good,event,0.2,12,6.506570944864448,43,20.41875
good,event,0.2,13,0.11817105613355425,34,13.94625
good,event,0.2,14,0.12597246187977296,35,13.34375
good,event,0.3,0,0.528512756842469,29,17.52
good,event,0.3,1,0.19917485448642058,30,21.005
good,event,0.3,2,0.16572068917891902,28,16.21
good,event,0.3,3,0.1706629373372281,26,16.6725
good,event,0.3,4,0.17042044508768883,25,18.595
good,event,0.3,5,0.1591359598401586,23,20.90875
good,event,0.3,6,0.1693732077030617,23,19.56375
good,event,0.3,7,0.1874188623874674,30,17.15625
good,event,0.3,8,0.16074428183014852,25,21.18875
good,event,0.3,9,0.19132407003520774,29,18.615
good,event,0.3,10,0.1742891557216788,25,18.41375
good,event,0.3,11,0.17117578310254547,26,16.9775
good,event,0.3,12,6.518690338332656,30,25.95
good,event,0.3,13,0.16460693524137976,26,19.39
good,event,0.3,14,0.1701196753181532,26,18.2725
good,event,0.5,0,0.5723101224625268,20,27.27375
