flight,seed,filter,method,rmse_twin,mean_aoi,max_aoi,lqg_cost,sync_count,fuse_count,median_assoc_error_m,median_sinr_db,samples
Opt3,24,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,24,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,24,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,25,fixed,proposed,49.04088538461682,0.7484662576687117,20.0,42011370.1946036,350.0,849.0,30.68454248048848,21.79298305,1630
Opt3,25,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,25,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,25,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,26,fixed,proposed,49.04746983091096,0.754601226993865,20.0,42011370.1946036,356.0,845.0,30.68454248048848,21.79298305,1630
Opt3,26,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,26,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,26,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,27,fixed,proposed,49.05334190012228,0.7276073619631902,20.0,42011370.1946036,354.0,844.0,30.68454248048848,21.79298305,1630
Opt3,27,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,27,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,27,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,28,fixed,proposed,49.07847896175271,0.7165644171779141,20.0,42011370.1946036,352.0,843.0,30.68454248048848,21.79298305,1630
Opt3,28,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,28,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,28,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
Opt3,29,fixed,proposed,49.08447396074751,0.7460122699386503,20.0,42011370.1946036,350.0,842.0,30.68454248048848,21.79298305,1630
Opt3,29,fixed,periodic,61.118840591147716,4.5,9.0,42011370.1946036,162.0,0.0,30.68454248048848,21.79298305,1630
Opt3,29,fixed,event,48.69214043483886,0.0018404907975460123,1.0,42011370.1946036,1626.0,0.0,30.68454248048848,21.79298305,1630
Opt3,29,fixed,unconditional,48.69228650705935,0.0,0.0,42011370.1946036,1629.0,0.0,30.68454248048848,21.79298305,1630
