flight,k,t,method,action,twin_err,aoi,Ck,Dk,Dr,q,sinr_db,assoc_error_m
Opt2,1077,548.6339998245239,unconditional,SYNC,19.12313294624839,0,0.2801369617319069,3.0896123833550897,8.12762949774416,0.5379084681102486,29.364851,31.015677882494344
Opt2,1078,549.9152562618256,proposed,FUSE,18.117071761581364,0,0.026656798110847885,4.5207623001441615,35.69300951527028,0.05434182146393747,19.4091091,6.781732509308671
Opt2,1078,549.9152562618256,periodic,HOLD,27.147256672787545,8,0.026656798110847885,23.33711547186947,184.2547405267992,0.05434182146393747,19.4091091,6.781732509308671
Opt2,1078,549.9152562618256,event,SYNC,18.689027433039822,0,0.026656798110847885,0.39398610768834924,3.110658990001778,0.05434182146393747,19.4091091,6.781732509308671
Opt2,1078,549.9152562618256,unconditional,SYNC,18.689027433039822,0,0.026656798110847885,0.39398610768834924,3.110658990001778,0.05434182146393747,19.4091091,6.781732509308671
Opt2,1079,550.4277589321136,proposed,HOLD,18.431616661052754,1,0.03188675725422765,2.2772256807320304,17.26652264519934,0.06904917774957323,20.4493523,14.465862907939668
Opt2,1079,550.4277589321136,periodic,HOLD,29.538660117707746,9,0.03188675725422765,24.323153614096544,184.42453298939427,0.06904917774957323,20.4493523,14.465862907939668
Opt2,1079,550.4277589321136,event,SYNC,18.182538296674284,0,0.03188675725422765,0.701514368886782,5.319066019149506,0.06904917774957323,20.4493523,14.465862907939668
Opt2,1079,550.4277589321136,unconditional,SYNC,18.182538296674284,0,0.03188675725422765,0.701514368886782,5.319066019149506,0.06904917774957323,20.4493523,14.465862907939668
Opt2,1080,550.6840100288391,proposed,FUSE,18.692620332808616,0,0.017113088151336314,2.7867488700323126,23.795366632559542,0.04,17.1906681,41.918767745698176
Opt2,1080,550.6840100288391,periodic,SYNC,18.500460827121447,0,0.017113088151336314,25.710961104687556,219.53960492838544,0.04,17.1906681,41.918767745698176
Opt2,1080,550.6840100288391,event,SYNC,18.500460827121447,0,0.017113088151336314,0.4275668212737727,3.6508884534003636,0.04,17.1906681,41.918767745698176
Opt2,1080,550.6840100288391,unconditional,SYNC,18.500460827121447,0,0.017113088151336314,0.4275668212737727,3.6508884534003636,0.04,17.1906681,41.918767745698176
Opt2,1081,551.1965126991272,proposed,HOLD,19.29044656455737,1,0.04009992594494707,2.581632379321975,18.427078828981248,0.0990780980989256,22.0175438,27.590530957512325
Opt2,1081,551.1965126991272,periodic,HOLD,18.948094492792304,1,0.04009992594494707,1.199330471175546,8.560536082273366,0.0990780980989256,22.0175438,27.590530957512325
Opt2,1081,551.1965126991272,event,SYNC,18.529954634218015,0,0.04009992594494707,1.199330471175546,8.560536082273366,0.0990780980989256,22.0175438,27.590530957512325
Opt2,1081,551.1965126991272,unconditional,SYNC,18.529954634218015,0,0.04009992594494707,1.199330471175546,8.560536082273366,0.0990780980989256,22.0175438,27.590530957512325
Opt2,1082,551.7090153694153,proposed,FUSE,19.56393859447025,0,0.025082294806955497,4.171979883794116,33.353880261254396,0.06643275011407473,20.2815895,56.63378774721883
Opt2,1082,551.7090153694153,periodic,HOLD,19.580120351909937,2,0.025082294806955497,2.6858853665798996,21.472946037048118,0.06643275011407473,20.2815895,56.63378774721883
Opt2,1082,551.7090153694153,event,SYNC,19.269611596704355,0,0.025082294806955497,1.5689017615797187,12.542956331278278,0.06643275011407473,20.2815895,56.63378774721883
Opt2,1082,551.7090153694153,unconditional,SYNC,19.269611596704355,0,0.025082294806955497,1.5689017615797187,12.542956331278278,0.06643275011407473,20.2815895,56.63378774721883
Opt2,1083,551.9652664661407,proposed,FUSE,19.883516138020187,0,0.01378989340259961,2.3148913495362113,20.34355846828947,0.04,17.3317299,9.947119140562688
Opt2,1083,551.9652664661407,periodic,HOLD,20.37613011462233,3,0.01378989340259961,2.9502615972800883,25.92727270463097,0.04,17.3317299,9.947119140562688
Opt2,1083,551.9652664661407,event,SYNC,19.523631089487598,0,0.01378989340259961,0.3201535154247962,2.813549655873762,0.04,17.3317299,9.947119140562688
Opt2,1083,551.9652664661407,unconditional,SYNC,19.523631089487598,0,0.01378989340259961,0.3201535154247962,2.813549655873762,0.04,17.3317299,9.947119140562688
Opt2,1084,552.4777691364288,proposed,HOLD,20.658726542622677,1,0.016765381553026114,1.972813890943326,16.895537570332188,0.052733638936952126,19.2786446,21.5082291507433
Opt2,1084,552.4777691364288,periodic,HOLD,21.319001606776457,4,0.016765381553026114,3.780878737059794,32.38013430669775,0.052733638936952126,19.2786446,21.5082291507433
